estado,web,prueba-en-web,telefono,app-android,tiene-prueba-and,app-ios,tiene-prueba-ios,sms,tiene-prueba-sms,whatsapp,tiene-prueba-wp,fecha-fin-cuarentena,centros-salud,medidas-01,medidas-02,medidas-03,medidas-04,telefono-violencia-genero,violencia-genero-en-linea,programas,otros
guanajuato ,https://coronavirus.guanajuato.gob.mx/,no,8006272583,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,075,no,no,Chat en línea para obtener información: https://coronavirus.guanajuato.gob.mx/chat.html
guerrero,http://guerrero.gob.mx/articulos/covid-19/,no,8007725834,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,"Acapulco: 7444866198, Chilpancingo: 7474719530, Emergencias: 911",no,no,no
hidalgo ,http://coronavirus.hidalgo.gob.mx/,no,"{general: 7717194500, 8000044800}",no,0,no,0,no,0,https://api.whatsapp.com/send?phone=5217712358784&text=Hola%20Operativo%20Escudo,1,30-05-2020,no,,,,,"075, 018005022221",no,https://www.hidalgo.gob.mx/#apoyosection,no
jalisco ,https://coronavirus.jalisco.gob.mx/,no,3338233220,https://apps.apple.com/us/app/covid-19-jalisco/id1504356187?!=es,1,https://play.google.com/store/apps/details?id=com.covid19.cgig,1,no,0,no,0,30-05-2020,no,,,,,"Menciona ""soy código violeta"": 911",no,https://coronavirus.jalisco.gob.mx/jalisco-sin-hambre/,no
michoacan ,https://michoacancoronavirus.com/,no,"{general: 8001232890, 911}",no,0,no,0,no,0,no,0,30-05-2020,no,,,,,"8008224460, 911","Whatsapp: 4435822082, Correo: seimujeratencion@gmail.com",https://michoacan.gob.mx/docs/Plan-Economico-Emergente.pdf,no
morelos,http://www.ssm.gob.mx/portal/,no,"{general: 7773622390, 7773622391, 7773143336}",no,0,no,0,no,0,no,0,30-05-2020,no,,,,,"7775386609, 7775386637, 7775385599, 7775342589",no,no,no
nayarit,https://covid19.nayarit.gob.mx/,no,"{general: 3112179556, 911}",no,0,no,0,no,0,no,0,30-05-2020,no,,,,,911,no,no,no
nuevo-leon ,http://www.nl.gob.mx/coronavirus,http://plataforma.saludnl.gob.mx/covid19/test.html,"{general: 8183610058, 911, 070}",https://play.google.com/store/apps/details?id=com.Mobzilla.EnvCons.gobnl,1,https://apps.apple.com/mx/app/gobierno-de-nuevo-le%C3%B3n/id1503410034?ls=1,1,no,0,no,0,30-05-2020,http://plataforma.saludnl.gob.mx/covid19/centrosatencion.html,,,,,no,Líneas y correos: http://www.nl.gob.mx/lineas-gratuitas-y-confidenciales-de-ayuda-para-mujeres,no,no
oaxaca ,https://www.oaxaca.gob.mx/salud/,no,8007708437,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,911,Teléfonos: https://www.oaxaca.gob.mx/smo/5279-2/,no,no
puebla ,https://previenecovid19.puebla.gob.mx/,https://previenecovid19.puebla.gob.mx/prueba-covid19,"{general: 80022684319, 8004205782, 911}",https://play.google.com/store/apps/details?id=mx.gob.puebla.covidtestapp,1,https://apps.apple.com/mx/app/covid-puebla/id1507242578,1,no,0,https://api.whatsapp.com/send?phone=+5215536733903,1,30-05-2020,no,,,,,"2222401707, 2222323738 whatsapp 2221678495",Whatsapp: 2221678495,no,no
queretaro,https://www.queretaro.gob.mx/covid19/,https://covapp.ciasqro.gob.mx/respuestas/#/autodiagnostico,4421015205,https://play.google.com/store/apps/details?id=mx.cqcias.covapp&hl=es_MX,1,https://apps.apple.com/mx/app/covapp/id1504283728,1,no,0,no,0,30-05-2020,no,,,,,"4422164757, 018000083568",no,https://www.queretaro.gob.mx/covid19/#programasN,no
quintana-roo,https://qroo.gob.mx/sesa/nuevo-coronavirus-covid-19,https://salud.qroo.gob.mx/portal/cuestionario/,"{general: 8000044800,  8008329198}",no,0,no,0,no,0,no,0,30-05-2020,no,,,,,911,no,no,no
san-luis-potosi ,https://slpcoronavirus.mx/,https://slpcoronavirus.mx/autoevaluacion-de-riesgo/,8001238888,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,911,no,https://medidaseconomicas.slp.gob.mx/,no
sinaloa,http://covid.sinaloa.gob.mx/,https://salud.sinaloa.gob.mx/,6677130063,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,911,no,https://redfosin.com.mx/programas/,no
sonora,https://www.sonora.gob.mx/coronavirus/inicio.html,no,6622162759,no,0,no,0,no,0,https://api.whatsapp.com/send?phone=5216624014483&text=Hola%20Salud%20Sonora%20(toca%20enviar%20para%20comenzar),1,30-05-2020,no,,,,,no,Teléfonos y redes: https://drive.google.com/file/d/1QqLZDDTBXWS0TrLr2IzvvV1VmuKpSgyf/view,https://www.sonora.gob.mx/coronavirus/todos-jalamos.html#alimentaria,Denuncia actos de corrupción en centros de salud: https://www.sonora.gob.mx/coronavirus/contacto/denuncia.html
tabasco,https://tabasco.gob.mx/salud,no,"{general: 8006241774, 9933571111}",no,0,no,0,no,0,no,0,30-05-2020,no,,,,,9933166813,Facebook: https://www.facebook.com/IEMTab; Correo: iem.atencionjuridica@gmail.com,no,no
tamaulipas ,http://coronavirus.tamaulipas.gob.mx/,https://sst.tamaulipas.gob.mx/covid19/registro.aspx,"{general: 8343186320, 8343186321}",https://play.google.com/store/apps/details?id=mx.gob.tamaulipas.covid19,0,https://apps.apple.com/us/app/covid-19-tam/id1505380068,0,no,0,no,0,30-05-2020,no,,,,,"8341101622, 911",no,no,no
tlaxcala ,https://www.saludtlax.gob.mx/,no,911,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,"2463313731, 911",no,no,no
veracruz ,http://coronavirus.veracruz.gob.mx/,no,8000123456,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,"075, 8009068537",no,no,no
yucatan,https://coronavirus.yucatan.gob.mx/,no,8009822826,https://play.google.com/store/apps/details?id=com.meditoc.callCenter&hl=es_MX,0,https://apps.apple.com/mx/app/meditoc/id1488402277,0,no,0,https://api.whatsapp.com/send?phone=5219992008489&text=Hola,1,30-05-2020,no,,,,,"9999233711, 9999233719",no,https://apoyos.yucatan.gob.mx/,Segundo canal de whatsapp: https://api.whatsapp.com/send?phone=5219992008489&text=Hola
zacatecas,https://covid19.zacatecas.gob.mx/,no,911,no,0,no,0,no,0,no,0,31-05-2020,no,,,,,911,Facebook: https://www.facebook.com/EstamosJuntasZac/,https://economia.zacatecas.gob.mx/apoyoscovid19/; http://une.zacatecas.gob.mx/s19/;  http://secampo.zacatecas.gob.m/oficial/,no
nacional ,https://coronavirus.gob.mx/,no,8000044800,https://play.google.com/store/apps/details?id=mx.gob.www,1,https://apps.apple.com/mx/app/covid-19mx/id1505632889,1,no,0,5586338599,0,31-05-2020,no,,,,,911,no,http://juntosporeltrabajo.stps.gob.mx/,"Materiales en lenguas indígenas: https://site.inali.gob.mx/Micrositios/materiales_de_prevencion_covid-19/index.html; Cultura en línea: ttp://contigoenladistancia.cultura.gob.mx/, Material con perspectiva de género: https://www.gob.mx/salud/cnegsr, Sección para niños: https://coronavirus.gob.mx/ninas-y-ninos/; Sección para adultos mayores: https://coronavirus.gob.mx/adultos-mayores/"
